Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
ifl_es1IID   ,"(80.99, 1.29)","(81.57, 1.15)","(85.09, 0.56)","(85.12, 0.5)","(54.13, 0.64)","(52.43, 0.59)","(54.68, 0.29)","(76.65, 0.03)","(54.68, 0.29)"
ifl_es1Text  ,"(77.56, 0.92)","(77.73, 0.85)","(81.57, 0.16)","(81.53, 0.16)","(52.94, 0.92)","(51.16, 0.93)","(57.41, 0.36)","(75.03, 0.08)","(57.43, 0.35)"
ifl_es1Audio ,"(80.76, 0.85)","(80.75, 0.86)","(83.82, 0.22)","(83.95, 0.23)","(53.61, 0.55)","(51.11, 0.46)","(56.81, 0.41)","(78.59, 0.12)","(56.78, 0.39)"
ifl_es1Vision,"(81.08, 0.41)","(81.07, 0.41)","(83.39, 0.27)","(83.53, 0.27)","(53.49, 0.63)","(51.27, 0.64)","(56.05, 0.45)","(78.42, 0.11)","(56.07, 0.43)"
ifl_es1TAV   ,"(77.36, 0.61)","(77.35, 0.62)","(81.31, 0.3)","(81.47, 0.3)","(52.99, 0.95)","(50.68, 0.94)","(57.72, 0.48)","(76.25, 0.14)","(57.72, 0.47)"
ifl_es1IID   ,"(79.98, 1.25)","(80.69, 1.12)","(84.91, 0.53)","(85.0, 0.47)","(54.05, 0.49)","(52.31, 0.39)","(54.71, 0.26)","(76.8, 0.14)","(54.71, 0.25)"
ifl_es1Text  ,"(76.27, 0.91)","(76.5, 0.89)","(81.15, 0.21)","(81.14, 0.22)","(53.0, 0.11)","(51.18, 0.04)","(57.32, 0.14)","(75.04, 0.21)","(57.36, 0.16)"
ifl_es1Audio ,"(80.54, 0.31)","(80.52, 0.33)","(84.36, 0.18)","(84.45, 0.15)","(53.56, 0.35)","(50.96, 0.25)","(56.45, 0.4)","(78.75, 0.17)","(56.42, 0.4)"
ifl_es1Vision,"(81.0, 0.6)","(80.99, 0.62)","(84.03, 0.17)","(84.13, 0.15)","(53.69, 0.77)","(51.38, 0.67)","(55.49, 0.47)","(78.8, 0.3)","(55.46, 0.43)"
ifl_es1TAV   ,"(77.07, 0.5)","(77.03, 0.54)","(81.74, 0.21)","(81.85, 0.18)","(53.58, 0.65)","(51.14, 0.55)","(57.36, 0.44)","(76.39, 0.17)","(57.34, 0.43)"
