Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
ifl_esIID   ,"(82.62, 0.8)","(82.99, 0.68)","(85.67, 0.12)","(85.6, 0.1)","(53.58, 0.29)","(51.83, 0.25)","(54.84, 0.23)","(76.32, 0.13)","(54.86, 0.23)"
ifl_esText  ,"(78.76, 0.8)","(78.83, 0.75)","(81.66, 0.37)","(81.59, 0.4)","(52.03, 0.54)","(50.11, 0.49)","(58.3, 0.21)","(74.38, 0.14)","(58.28, 0.22)"
ifl_esAudio ,"(81.34, 0.2)","(81.33, 0.18)","(83.27, 0.22)","(83.43, 0.21)","(52.4, 0.78)","(49.85, 0.66)","(57.92, 0.1)","(78.24, 0.26)","(57.95, 0.12)"
ifl_esVision,"(81.44, 0.3)","(81.42, 0.28)","(82.9, 0.34)","(83.06, 0.33)","(52.49, 0.54)","(50.25, 0.43)","(57.11, 0.2)","(77.99, 0.17)","(57.07, 0.22)"
ifl_esTAV   ,"(78.18, 0.39)","(78.17, 0.38)","(80.83, 0.44)","(81.02, 0.43)","(52.76, 0.7)","(50.35, 0.65)","(58.6, 0.17)","(75.87, 0.16)","(58.64, 0.17)"
ifl_esIID   ,"(82.18, 1.55)","(82.62, 1.39)","(85.41, 0.43)","(85.39, 0.38)","(54.6, 0.15)","(52.85, 0.14)","(54.71, 0.21)","(76.49, 0.08)","(54.7, 0.19)"
ifl_esText  ,"(78.55, 1.85)","(78.65, 1.77)","(81.62, 0.66)","(81.57, 0.65)","(53.03, 0.37)","(51.21, 0.37)","(57.67, 0.14)","(74.76, 0.32)","(57.66, 0.11)"
ifl_esAudio ,"(81.44, 0.89)","(81.43, 0.88)","(83.67, 0.15)","(83.82, 0.14)","(53.87, 0.49)","(51.23, 0.43)","(57.13, 0.12)","(78.4, 0.25)","(57.15, 0.07)"
ifl_esVision,"(81.43, 0.75)","(81.42, 0.74)","(83.11, 0.21)","(83.26, 0.2)","(53.73, 0.29)","(51.43, 0.23)","(56.27, 0.18)","(78.35, 0.24)","(56.28, 0.2)"
ifl_esTAV   ,"(77.82, 0.93)","(77.81, 0.93)","(80.84, 0.29)","(81.03, 0.28)","(53.92, 0.24)","(51.56, 0.24)","(57.91, 0.26)","(76.11, 0.16)","(57.92, 0.23)"
ifl_esText  ,"(78.73, 1.15)","(78.84, 1.09)","(81.79, 0.53)","(81.75, 0.52)","(52.71, 0.34)","(50.92, 0.41)","(57.69, 0.3)","(74.92, 0.48)","(57.74, 0.31)"
